ChangeId,OpportunityCode,AccountName,OpportunityName,FieldChanged,OldValue,NewValue,ChangeDate,ChangedByFullName,ChangedByEmail
CHG-001470,0061ISGVA3AVOITFUX,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,SFDC_ACV_Gp,0,4837.07,2026-08-23,Rebecca Bell,rebecca.bell@global.ntt
CHG-001471,0061ISGVA3AVOITFUX,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,OpportunityStage,Qualification,Proposal,2026-08-24,Rebecca Bell,rebecca.bell@global.ntt
CHG-001472,0061ISGVA3AVOITFUX,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,SFDC_ACV_Revenue,34855.36,40596.77,2026-08-24,Rebecca Bell,rebecca.bell@global.ntt
CHG-001473,0061ISGVA3AVOITFUX,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,SFDC_ACV_Gp,4837.07,5633.84,2026-08-24,Rebecca Bell,rebecca.bell@global.ntt
CHG-001474,0061ISGVA3AVOITFUX,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,OpportunityStage,Proposal,Proposal Evaluation,2026-08-25,Rebecca Bell,rebecca.bell@global.ntt
CHG-001475,0061ISGVA3AVOITFUX,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,OpportunityStage,Proposal Evaluation,Finalist,2026-08-25,Rebecca Bell,rebecca.bell@global.ntt
CHG-001476,0061ISGVA3AVOITFUX,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,ForecastCategory,Pipeline,Best Case,2026-08-25,Rebecca Bell,rebecca.bell@global.ntt
CHG-001477,0061ISGVA3AVOITFUX,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,Confidence,0.23,0.58,2026-08-25,Rebecca Bell,rebecca.bell@global.ntt
CHG-001478,0061ISGVA3AVOITFUX,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,OpportunityStage,Finalist,Deal Lost,2026-08-26,Rebecca Bell,rebecca.bell@global.ntt
CHG-001479,0061ISGVA3AVOITFUX,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,ForecastCategory,Best Case,Omitted,2026-08-26,Rebecca Bell,rebecca.bell@global.ntt
CHG-001480,0061ISGVA3AVOITFUX,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,Confidence,0.58,0.00,2026-08-26,Rebecca Bell,rebecca.bell@global.ntt
CHG-001481,0061ISGVA3AVOITFUX,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,SFDC_ACV_Revenue,40596.77,51121.81,2026-08-26,Rebecca Bell,rebecca.bell@global.ntt
CHG-001482,0061ISGVA3AVOITFUX,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,SFDC_ACV_Gp,5633.84,7094.46,2026-08-26,Rebecca Bell,rebecca.bell@global.ntt
CHG-001483,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,OpportunityStage,Identification,Requirements Definition,2026-01-17,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001484,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,ForecastCategory,Not Set,Omitted,2026-01-17,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001485,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,Confidence,0.00,0.01,2026-01-17,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001486,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,SFDC_ACV_Revenue,0,6627.22,2026-01-17,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001487,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,SFDC_ACV_Gp,0,1220.34,2026-01-17,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001488,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,OpportunityStage,Requirements Definition,Qualification,2026-01-22,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001489,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,ForecastCategory,Omitted,Pipeline,2026-01-22,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001490,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,Confidence,0.01,0.25,2026-01-22,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001491,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,OpportunityStage,Qualification,Proposal,2026-02-01,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001492,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,OpportunityStage,Proposal,Proposal Evaluation,2026-02-06,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001493,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,ForecastCategory,Pipeline,Best Case,2026-02-06,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001494,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,Confidence,0.25,0.60,2026-02-06,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001495,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,SFDC_ACV_Revenue,6627.22,6460.53,2026-02-18,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001496,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,SFDC_ACV_Gp,1220.34,1189.64,2026-02-18,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001497,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,OpportunityStage,Proposal Evaluation,Finalist,2026-03-12,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001498,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,ForecastCategory,Best Case,Commit,2026-03-12,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001499,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,Confidence,0.60,0.74,2026-03-12,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001500,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,OpportunityStage,Finalist,Deal Lost,2026-03-23,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001501,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,ForecastCategory,Commit,Omitted,2026-03-23,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001502,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,Confidence,0.74,0.06,2026-03-23,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001503,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,SFDC_ACV_Revenue,6460.53,5371.13,2026-03-23,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001504,0061ISUK5ZKFLQTOBY,Beacon Telecom Co.,Beacon Telecom Co. - Wireless Expansion,SFDC_ACV_Gp,1189.64,989.04,2026-03-23,Cynthia Edwards,cynthia.edwards@global.ntt
CHG-001505,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,ForecastCategory,Not Set,Omitted,2026-07-02,Larry Edwards,larry.edwards@global.ntt
CHG-001506,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,SFDC_ACV_Revenue,0,13667.95,2026-07-02,Larry Edwards,larry.edwards@global.ntt
CHG-001507,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,SFDC_ACV_Gp,0,2240.29,2026-07-02,Larry Edwards,larry.edwards@global.ntt
CHG-001508,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,OpportunityStage,Identification,Requirements Definition,2026-07-14,Larry Edwards,larry.edwards@global.ntt
CHG-001509,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,OpportunityStage,Requirements Definition,Qualification,2026-08-05,Larry Edwards,larry.edwards@global.ntt
CHG-001510,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,SFDC_ACV_Revenue,13667.95,14876.42,2026-08-06,Larry Edwards,larry.edwards@global.ntt
CHG-001511,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,SFDC_ACV_Gp,2240.29,2438.37,2026-08-06,Larry Edwards,larry.edwards@global.ntt
CHG-001512,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,OpportunityStage,Qualification,Proposal,2026-08-22,Larry Edwards,larry.edwards@global.ntt
CHG-001513,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,ForecastCategory,Omitted,Pipeline,2026-08-22,Larry Edwards,larry.edwards@global.ntt
CHG-001514,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,Confidence,0.00,0.42,2026-08-22,Larry Edwards,larry.edwards@global.ntt
CHG-001515,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,OpportunityStage,Proposal,Proposal Evaluation,2026-08-23,Larry Edwards,larry.edwards@global.ntt
CHG-001516,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,ForecastCategory,Pipeline,Best Case,2026-08-23,Larry Edwards,larry.edwards@global.ntt
CHG-001517,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,Confidence,0.42,0.66,2026-08-23,Larry Edwards,larry.edwards@global.ntt
CHG-001518,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,OpportunityStage,Proposal Evaluation,Finalist,2026-09-04,Larry Edwards,larry.edwards@global.ntt
CHG-001519,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,OpportunityStage,Finalist,Deal Won,2026-09-10,Larry Edwards,larry.edwards@global.ntt
CHG-001520,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,ForecastCategory,Best Case,Closed,2026-09-10,Larry Edwards,larry.edwards@global.ntt
CHG-001521,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,Confidence,0.66,0.95,2026-09-10,Larry Edwards,larry.edwards@global.ntt
CHG-001522,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,SFDC_ACV_Revenue,14876.42,13408.04,2026-09-10,Larry Edwards,larry.edwards@global.ntt
CHG-001523,0061J11AI2MPAYDJR1,Cobalt Holdings Co.,Cobalt Holdings Co. - Cloud Connectivity,SFDC_ACV_Gp,2438.37,2197.69,2026-09-10,Larry Edwards,larry.edwards@global.ntt
CHG-001524,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,ForecastCategory,Not Set,Omitted,2026-05-18,Mark Campbell,mark.campbell@global.ntt
CHG-001525,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,Confidence,0.00,0.08,2026-05-18,Mark Campbell,mark.campbell@global.ntt
CHG-001526,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,SFDC_ACV_Revenue,0,12174.72,2026-05-18,Mark Campbell,mark.campbell@global.ntt
CHG-001527,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,SFDC_ACV_Gp,0,2904.52,2026-05-18,Mark Campbell,mark.campbell@global.ntt
CHG-001528,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,OpportunityStage,Identification,Requirements Definition,2026-05-31,Mark Campbell,mark.campbell@global.ntt
CHG-001529,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,OpportunityStage,Requirements Definition,Qualification,2026-06-04,Mark Campbell,mark.campbell@global.ntt
CHG-001530,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,ForecastCategory,Omitted,Pipeline,2026-06-04,Mark Campbell,mark.campbell@global.ntt
CHG-001531,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,OpportunityStage,Qualification,Proposal,2026-06-09,Mark Campbell,mark.campbell@global.ntt
CHG-001532,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,SFDC_ACV_Revenue,12174.72,13425.97,2026-06-15,Mark Campbell,mark.campbell@global.ntt
CHG-001533,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,SFDC_ACV_Gp,2904.52,3203.03,2026-06-15,Mark Campbell,mark.campbell@global.ntt
CHG-001534,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,OpportunityStage,Proposal,Proposal Evaluation,2026-07-07,Mark Campbell,mark.campbell@global.ntt
CHG-001535,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,OpportunityStage,Proposal Evaluation,Finalist,2026-07-08,Mark Campbell,mark.campbell@global.ntt
CHG-001536,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,ForecastCategory,Pipeline,Best Case,2026-07-08,Mark Campbell,mark.campbell@global.ntt
CHG-001537,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,Confidence,0.08,0.73,2026-07-08,Mark Campbell,mark.campbell@global.ntt
CHG-001538,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,OpportunityStage,Finalist,Deal Lost,2026-07-13,Mark Campbell,mark.campbell@global.ntt
CHG-001539,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,ForecastCategory,Best Case,Omitted,2026-07-13,Mark Campbell,mark.campbell@global.ntt
CHG-001540,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,Confidence,0.73,0.00,2026-07-13,Mark Campbell,mark.campbell@global.ntt
CHG-001541,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,SFDC_ACV_Revenue,13425.97,11396.22,2026-07-13,Mark Campbell,mark.campbell@global.ntt
CHG-001542,0061J3F0QG91FO0HRD,Ironclad Utilities Corp.,Ironclad Utilities Corp. - Endpoint Protection,SFDC_ACV_Gp,3203.03,2718.79,2026-07-13,Mark Campbell,mark.campbell@global.ntt
CHG-001543,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,ForecastCategory,Not Set,Omitted,2026-04-28,Scott Carter,scott.carter@global.ntt
CHG-001544,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,Confidence,0.00,0.07,2026-04-28,Scott Carter,scott.carter@global.ntt
CHG-001545,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,SFDC_ACV_Revenue,0,381.79,2026-04-28,Scott Carter,scott.carter@global.ntt
CHG-001546,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,SFDC_ACV_Gp,0,166.48,2026-04-28,Scott Carter,scott.carter@global.ntt
CHG-001547,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,OpportunityStage,Identification,Requirements Definition,2026-05-10,Scott Carter,scott.carter@global.ntt
CHG-001548,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,OpportunityStage,Requirements Definition,Qualification,2026-05-17,Scott Carter,scott.carter@global.ntt
CHG-001549,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,ForecastCategory,Omitted,Pipeline,2026-05-17,Scott Carter,scott.carter@global.ntt
CHG-001550,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,Confidence,0.07,0.28,2026-05-17,Scott Carter,scott.carter@global.ntt
CHG-001551,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,OpportunityStage,Qualification,Proposal,2026-05-21,Scott Carter,scott.carter@global.ntt
CHG-001552,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,ForecastCategory,Pipeline,Commit,2026-05-21,Scott Carter,scott.carter@global.ntt
CHG-001553,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,Confidence,0.28,0.81,2026-05-21,Scott Carter,scott.carter@global.ntt
CHG-001554,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,SFDC_ACV_Revenue,381.79,354.09,2026-06-08,Scott Carter,scott.carter@global.ntt
CHG-001555,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,SFDC_ACV_Gp,166.48,154.4,2026-06-08,Scott Carter,scott.carter@global.ntt
CHG-001556,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,OpportunityStage,Proposal,Proposal Evaluation,2026-06-16,Scott Carter,scott.carter@global.ntt
CHG-001557,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,OpportunityStage,Proposal Evaluation,Finalist,2026-07-18,Scott Carter,scott.carter@global.ntt
CHG-001558,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,OpportunityStage,Finalist,Deal Lost,2026-07-19,Scott Carter,scott.carter@global.ntt
CHG-001559,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,ForecastCategory,Commit,Omitted,2026-07-19,Scott Carter,scott.carter@global.ntt
CHG-001560,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,Confidence,0.81,0.00,2026-07-19,Scott Carter,scott.carter@global.ntt
CHG-001561,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,SFDC_ACV_Revenue,354.09,331.82,2026-07-19,Scott Carter,scott.carter@global.ntt
CHG-001562,0061JM8ZE2EOPNRFXY,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc. - Cloud Connectivity,SFDC_ACV_Gp,154.4,144.69,2026-07-19,Scott Carter,scott.carter@global.ntt
CHG-001563,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,ForecastCategory,Not Set,Omitted,2026-04-02,Rebecca Bell,rebecca.bell@global.ntt
CHG-001564,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,SFDC_ACV_Revenue,0,65574.61,2026-04-02,Rebecca Bell,rebecca.bell@global.ntt
CHG-001565,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,SFDC_ACV_Gp,0,9842.02,2026-04-02,Rebecca Bell,rebecca.bell@global.ntt
CHG-001566,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,OpportunityStage,Identification,Requirements Definition,2026-04-13,Rebecca Bell,rebecca.bell@global.ntt
CHG-001567,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,OpportunityStage,Requirements Definition,Qualification,2026-04-21,Rebecca Bell,rebecca.bell@global.ntt
CHG-001568,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,ForecastCategory,Omitted,Pipeline,2026-04-21,Rebecca Bell,rebecca.bell@global.ntt
CHG-001569,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,Confidence,0.00,0.18,2026-04-21,Rebecca Bell,rebecca.bell@global.ntt
CHG-001570,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,SFDC_ACV_Revenue,65574.61,76324.75,2026-05-01,Rebecca Bell,rebecca.bell@global.ntt
CHG-001571,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,SFDC_ACV_Gp,9842.02,11455.5,2026-05-01,Rebecca Bell,rebecca.bell@global.ntt
CHG-001572,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,OpportunityStage,Qualification,Proposal,2026-05-08,Rebecca Bell,rebecca.bell@global.ntt
CHG-001573,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,OpportunityStage,Proposal,Proposal Evaluation,2026-05-14,Rebecca Bell,rebecca.bell@global.ntt
CHG-001574,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,ForecastCategory,Pipeline,Commit,2026-05-14,Rebecca Bell,rebecca.bell@global.ntt
CHG-001575,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,Confidence,0.18,0.76,2026-05-14,Rebecca Bell,rebecca.bell@global.ntt
CHG-001576,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,OpportunityStage,Proposal Evaluation,Finalist,2026-05-23,Rebecca Bell,rebecca.bell@global.ntt
CHG-001577,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,OpportunityStage,Finalist,Deal Lost,2026-05-30,Rebecca Bell,rebecca.bell@global.ntt
CHG-001578,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,ForecastCategory,Commit,Omitted,2026-05-30,Rebecca Bell,rebecca.bell@global.ntt
CHG-001579,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,Confidence,0.76,0.05,2026-05-30,Rebecca Bell,rebecca.bell@global.ntt
CHG-001580,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,SFDC_ACV_Revenue,76324.75,91218.95,2026-05-30,Rebecca Bell,rebecca.bell@global.ntt
CHG-001581,0061K6O3QOQPR5ZBCA,Bluepeak Data Systems Inc.,Bluepeak Data Systems Inc. - Wireless Expansion,SFDC_ACV_Gp,11455.5,13690.95,2026-05-30,Rebecca Bell,rebecca.bell@global.ntt
CHG-001582,0061L8ZAM9G8SYYSSU,Meridian Telecom LLC,Meridian Telecom LLC - Unified Communications,ForecastCategory,Not Set,Omitted,2026-05-01,Jennifer Reed,jennifer.reed@global.ntt
CHG-001583,0061L8ZAM9G8SYYSSU,Meridian Telecom LLC,Meridian Telecom LLC - Unified Communications,SFDC_ACV_Revenue,0,58882.14,2026-05-01,Jennifer Reed,jennifer.reed@global.ntt
CHG-001584,0061L8ZAM9G8SYYSSU,Meridian Telecom LLC,Meridian Telecom LLC - Unified Communications,SFDC_ACV_Gp,0,13368.55,2026-05-01,Jennifer Reed,jennifer.reed@global.ntt
CHG-001585,0061L8ZAM9G8SYYSSU,Meridian Telecom LLC,Meridian Telecom LLC - Unified Communications,OpportunityStage,Identification,Requirements Definition,2026-05-03,Jennifer Reed,jennifer.reed@global.ntt
CHG-001586,0061L8ZAM9G8SYYSSU,Meridian Telecom LLC,Meridian Telecom LLC - Unified Communications,OpportunityStage,Requirements Definition,Qualification,2026-05-04,Jennifer Reed,jennifer.reed@global.ntt
CHG-001587,0061L8ZAM9G8SYYSSU,Meridian Telecom LLC,Meridian Telecom LLC - Unified Communications,ForecastCategory,Omitted,Pipeline,2026-05-04,Jennifer Reed,jennifer.reed@global.ntt
CHG-001588,0061L8ZAM9G8SYYSSU,Meridian Telecom LLC,Meridian Telecom LLC - Unified Communications,Confidence,0.00,0.23,2026-05-04,Jennifer Reed,jennifer.reed@global.ntt
CHG-001589,0061L8ZAM9G8SYYSSU,Meridian Telecom LLC,Meridian Telecom LLC - Unified Communications,OpportunityStage,Qualification,Proposal,2026-05-08,Jennifer Reed,jennifer.reed@global.ntt
CHG-001590,0061L8ZAM9G8SYYSSU,Meridian Telecom LLC,Meridian Telecom LLC - Unified Communications,OpportunityStage,Proposal,Proposal Evaluation,2026-05-29,Jennifer Reed,jennifer.reed@global.ntt
CHG-001591,0061L8ZAM9G8SYYSSU,Meridian Telecom LLC,Meridian Telecom LLC - Unified Communications,SFDC_ACV_Revenue,58882.14,63631.58,2026-06-17,Jennifer Reed,jennifer.reed@global.ntt
CHG-001592,0061L8ZAM9G8SYYSSU,Meridian Telecom LLC,Meridian Telecom LLC - Unified Communications,SFDC_ACV_Gp,13368.55,14446.86,2026-06-17,Jennifer Reed,jennifer.reed@global.ntt
CHG-001593,0061L8ZAM9G8SYYSSU,Meridian Telecom LLC,Meridian Telecom LLC - Unified Communications,OpportunityStage,Proposal Evaluation,Finalist,2026-07-18,Jennifer Reed,jennifer.reed@global.ntt
CHG-001594,0061L8ZAM9G8SYYSSU,Meridian Telecom LLC,Meridian Telecom LLC - Unified Communications,OpportunityStage,Finalist,Deal Lost,2026-08-03,Jennifer Reed,jennifer.reed@global.ntt
CHG-001595,0061L8ZAM9G8SYYSSU,Meridian Telecom LLC,Meridian Telecom LLC - Unified Communications,ForecastCategory,Pipeline,Omitted,2026-08-03,Jennifer Reed,jennifer.reed@global.ntt
CHG-001596,0061L8ZAM9G8SYYSSU,Meridian Telecom LLC,Meridian Telecom LLC - Unified Communications,Confidence,0.23,0.00,2026-08-03,Jennifer Reed,jennifer.reed@global.ntt
